name,age,nationality,position,club,market_value,profile_url,matches,goals,assists,minutes_played,competition_stats
Erling Haaland,Erling Haaland,Unknown,Erling HaalandCentre-Forward,Unknown club,€200.00m,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,,€200.00m,20,18,{}
Vinicius Junior,Vinicius Junior,Unknown,Vinicius JuniorLeft Winger,Unknown club,€200.00m,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,,€200.00m,17,12,{}
Jude Bellingham,Jude Bellingham,Unknown,Jude BellinghamAttacking Midfield,Unknown club,€180.00m,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,,€180.00m,15,2,{}
Kylian Mbappé,Kylian Mbappé,Unknown,Kylian MbappéCentre-Forward,Unknown club,€180.00m,https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229,,€180.00m,18,8,{}
Lamine Yamal,Lamine Yamal,Unknown,Lamine YamalRight Winger,Unknown club,€150.00m,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,,€150.00m,19,6,{}
Phil Foden,Phil Foden,Unknown,Phil FodenRight Winger,Unknown club,€150.00m,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,,€150.00m,16,3,{}
Bukayo Saka,Bukayo Saka,Unknown,Bukayo SakaRight Winger,Unknown club,€140.00m,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,,€140.00m,18,4,{}
Florian Wirtz,Florian Wirtz,Unknown,Florian WirtzAttacking Midfield,Unknown club,€130.00m,https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577,,€130.00m,21,8,{}
Jamal Musiala,Jamal Musiala,Unknown,Jamal MusialaAttacking Midfield,Unknown club,€130.00m,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195,,€130.00m,16,10,{}
Federico Valverde,Federico Valverde,Unknown,Federico ValverdeCentral Midfield,Unknown club,€130.00m,https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,,€130.00m,17,3,{}
Rodri,Rodri,Unknown,RodriDefensive Midfield,Unknown club,€130.00m,https://www.transfermarkt.com/rodri/profil/spieler/357565,,€130.00m,4,0,{}
Declan Rice,Declan Rice,Unknown,Declan RiceDefensive Midfield,Unknown club,€120.00m,https://www.transfermarkt.com/declan-rice/profil/spieler/357662,,€120.00m,18,3,{}
Rodrygo,Rodrygo,Unknown,RodrygoRight Winger,Unknown club,€110.00m,https://www.transfermarkt.com/rodrygo/profil/spieler/412363,,€110.00m,15,3,{}
Lautaro Martínez,Lautaro Martínez,Unknown,Lautaro MartínezCentre-Forward,Unknown club,€110.00m,https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625,,€110.00m,15,6,{}
Martin Ødegaard,Martin Ødegaard,Unknown,Martin ØdegaardAttacking Midfield,Unknown club,€110.00m,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,,€110.00m,7,0,{}
Eduardo Camavinga,Eduardo Camavinga,Unknown,Eduardo CamavingaCentral Midfield,Unknown club,€100.00m,https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,,€100.00m,9,1,{}
Aurélien Tchouaméni,Aurélien Tchouaméni,Unknown,Aurélien TchouaméniDefensive Midfield,Unknown club,€100.00m,https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112,,€100.00m,17,0,{}
Harry Kane,Harry Kane,Unknown,Harry KaneCentre-Forward,Unknown club,€100.00m,https://www.transfermarkt.com/harry-kane/profil/spieler/132098,,€100.00m,19,19,{}
Gavi,Gavi,Unknown,GaviCentral Midfield,Unknown club,€90.00m,https://www.transfermarkt.com/gavi/profil/spieler/646740,,€90.00m,6,0,{}
Cole Palmer,Cole Palmer,Unknown,Cole PalmerAttacking Midfield,Unknown club,€90.00m,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,,€90.00m,15,7,{}
Bruno Guimarães,Bruno Guimarães,Unknown,Bruno GuimarãesDefensive Midfield,Unknown club,€85.00m,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,,€85.00m,14,0,{}
Pedri,Pedri,Unknown,PedriCentral Midfield,Unknown club,€80.00m,https://www.transfermarkt.com/pedri/profil/spieler/683840,,€80.00m,21,3,{}
Xavi Simons,Xavi Simons,Unknown,Xavi SimonsAttacking Midfield,Unknown club,€80.00m,https://www.transfermarkt.com/xavi-simons/profil/spieler/566931,,€80.00m,15,4,{}
Khvicha Kvaratskhelia,Khvicha Kvaratskhelia,Unknown,Khvicha KvaratskheliaLeft Winger,Unknown club,€80.00m,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670,,€80.00m,18,6,{}
William Saliba,William Saliba,Unknown,William SalibaCentre-Back,Unknown club,€80.00m,https://www.transfermarkt.com/william-saliba/profil/spieler/495666,,€80.00m,19,0,{}
Luis Díaz,Luis Díaz,Unknown,Luis DíazLeft Winger,Unknown club,€80.00m,https://www.transfermarkt.com/luis-diaz/profil/spieler/480692,,€80.00m,16,9,{}
Rúben Dias,Rúben Dias,Unknown,Rúben DiasCentre-Back,Unknown club,€80.00m,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,,€80.00m,18,0,{}
Nicolò Barella,Nicolò Barella,Unknown,Nicolò BarellaCentral Midfield,Unknown club,€80.00m,https://www.transfermarkt.com/nicolo-barella/profil/spieler/255942,,€80.00m,12,1,{}
Moisés Caicedo,Moisés Caicedo,Unknown,Moisés CaicedoDefensive Midfield,Unknown club,€75.00m,https://www.transfermarkt.com/moises-caicedo/profil/spieler/687626,,€75.00m,13,1,{}
Enzo Fernández,Enzo Fernández,Unknown,Enzo FernándezCentral Midfield,Unknown club,€75.00m,https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195,,€75.00m,15,0,{}
Julián Alvarez,Julián Alvarez,Unknown,Julián AlvarezCentre-Forward,Unknown club,€75.00m,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,,€75.00m,18,7,{}
Alexis Mac Allister,Alexis Mac Allister,Unknown,Alexis Mac AllisterCentral Midfield,Unknown club,€75.00m,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,,€75.00m,17,1,{}
Josko Gvardiol,Josko Gvardiol,Unknown,Josko GvardiolLeft-Back,Unknown club,€75.00m,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,,€75.00m,22,3,{}
Dominik Szoboszlai,Dominik Szoboszlai,Unknown,Dominik SzoboszlaiAttacking Midfield,Unknown club,€75.00m,https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276,,€75.00m,20,3,{}
Gabriel Magalhães,Gabriel Magalhães,Unknown,Gabriel MagalhãesCentre-Back,Unknown club,€75.00m,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338,,€75.00m,16,2,{}
Victor Osimhen,Victor Osimhen,Unknown,Victor OsimhenCentre-Forward,Unknown club,€75.00m,https://www.transfermarkt.com/victor-osimhen/profil/spieler/401923,,€75.00m,9,8,{}
Rafael Leão,Rafael Leão,Unknown,Rafael LeãoLeft Winger,Unknown club,€75.00m,https://www.transfermarkt.com/rafael-leao/profil/spieler/357164,,€75.00m,18,3,{}
Alexander Isak,Alexander Isak,Unknown,Alexander IsakCentre-Forward,Unknown club,€75.00m,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066,,€75.00m,13,8,{}
Kai Havertz,Kai Havertz,Unknown,Kai HavertzCentre-Forward,Unknown club,€75.00m,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,,€75.00m,19,8,{}
Nico Williams,Nico Williams,Unknown,Nico WilliamsLeft Winger,Unknown club,€70.00m,https://www.transfermarkt.com/nico-williams/profil/spieler/709187,,€70.00m,17,2,{}
